date,route,day_of_week,month,price,promo_flag,bookings,revenue
2024-01-01,DXB-BKK,0,1,341.91,0,266,90947.7
2024-01-02,DXB-BKK,1,1,342.52,0,246,84259.45
2024-01-03,DXB-BKK,2,1,344.08,0,296,101848.79
2024-01-04,DXB-BKK,3,1,344.38,0,339,116745.2
2024-01-05,DXB-BKK,4,1,286.96,1,480,137742.58
2024-01-06,DXB-BKK,5,1,347.13,0,376,130520.2
2024-01-07,DXB-BKK,6,1,347.43,0,299,103881.97
2024-01-08,DXB-BKK,0,1,347.69,0,257,89357.45
2024-01-09,DXB-BKK,1,1,346.55,0,250,86636.37
2024-01-10,DXB-BKK,2,1,347.59,0,284,98715.12
2024-01-11,DXB-BKK,3,1,347.81,0,309,107473.47
2024-01-12,DXB-BKK,4,1,279.73,1,471,131753.85
2024-01-13,DXB-BKK,5,1,349.28,0,373,130282.03
2024-01-14,DXB-BKK,6,1,347.69,0,313,108826.36
2024-01-15,DXB-BKK,0,1,347.34,0,255,88570.64
2024-01-16,DXB-BKK,1,1,349.16,0,250,87289.67
2024-01-17,DXB-BKK,2,1,349.91,0,282,98675.45
2024-01-18,DXB-BKK,3,1,350.12,0,322,112739.23
2024-01-19,DXB-BKK,4,1,350.78,0,342,119966.3
2024-01-20,DXB-BKK,5,1,351.33,0,383,134558.53
2024-01-21,DXB-BKK,6,1,349.33,0,334,116677.01
2024-01-22,DXB-BKK,0,1,349.09,0,274,95650.02
2024-01-23,DXB-BKK,1,1,351.79,0,245,86188.86
2024-01-24,DXB-BKK,2,1,351.08,0,249,87419.08
2024-01-25,DXB-BKK,3,1,350.88,0,295,103509.92
2024-01-26,DXB-BKK,4,1,350.35,0,347,121570.1
2024-01-27,DXB-BKK,5,1,350.49,0,384,134589.14
2024-01-28,DXB-BKK,6,1,349.89,0,312,109167.03
2024-01-29,DXB-BKK,0,1,350.9,0,284,99655.7
2024-01-30,DXB-BKK,1,1,351.47,0,255,89625.28
2024-01-31,DXB-BKK,2,1,352.91,0,279,98461.01
2024-02-01,DXB-BKK,3,2,351.6,0,317,111458.68
2024-02-02,DXB-BKK,4,2,351.37,0,292,102599.39
2024-02-03,DXB-BKK,5,2,250.94,1,578,145041.26
2024-02-04,DXB-BKK,6,2,352.26,0,319,112370.31
2024-02-05,DXB-BKK,0,2,351.34,0,270,94861.77
2024-02-06,DXB-BKK,1,2,352.98,0,239,84363.27
2024-02-07,DXB-BKK,2,2,261.9,1,371,97163.61
2024-02-08,DXB-BKK,3,2,353.82,0,293,103669.45
2024-02-09,DXB-BKK,4,2,353.35,0,328,115899.86
2024-02-10,DXB-BKK,5,2,352.82,0,326,115020.44
2024-02-11,DXB-BKK,6,2,357.04,0,299,106754.77
2024-02-12,DXB-BKK,0,2,356.66,0,268,95585.17
2024-02-13,DXB-BKK,1,2,359.44,0,261,93814.69
2024-02-14,DXB-BKK,2,2,357.81,0,227,81222.47
2024-02-15,DXB-BKK,3,2,303.49,1,354,107437.05
2024-02-16,DXB-BKK,4,2,355.82,0,321,114218.58
2024-02-17,DXB-BKK,5,2,354.81,0,354,125604.48
2024-02-18,DXB-BKK,6,2,354.67,0,309,109594.42
2024-02-19,DXB-BKK,0,2,353.87,0,271,95899.27
2024-02-20,DXB-BKK,1,2,352.9,0,254,89637.21
2024-02-21,DXB-BKK,2,2,354.9,0,263,93338.36
2024-02-22,DXB-BKK,3,2,312.05,1,353,110155.28
2024-02-23,DXB-BKK,4,2,358.67,0,338,121231.35
2024-02-24,DXB-BKK,5,2,359.71,0,318,114389.14
2024-02-25,DXB-BKK,6,2,360.11,0,309,111273.37
2024-02-26,DXB-BKK,0,2,359.62,0,261,93859.78
2024-02-27,DXB-BKK,1,2,358.44,0,253,90685.01
2024-02-28,DXB-BKK,2,2,359.23,0,254,91245.61
2024-02-29,DXB-BKK,3,2,357.72,0,273,97658.81
2024-03-01,DXB-BKK,4,3,356.48,0,315,112292.11
2024-03-02,DXB-BKK,5,3,358.46,0,332,119008.84
2024-03-03,DXB-BKK,6,3,361.56,0,251,90751.12
2024-03-04,DXB-BKK,0,3,362.39,0,253,91685.67
2024-03-05,DXB-BKK,1,3,364.3,0,262,95446.14
2024-03-06,DXB-BKK,2,3,261.0,1,457,119276.2
2024-03-07,DXB-BKK,3,3,362.41,0,283,102561.6
2024-03-08,DXB-BKK,4,3,363.57,0,319,115978.09
2024-03-09,DXB-BKK,5,3,364.66,0,320,116691.61
2024-03-10,DXB-BKK,6,3,303.75,1,391,118766.61
2024-03-11,DXB-BKK,0,3,364.88,0,277,101071.97
2024-03-12,DXB-BKK,1,3,366.56,0,261,95672.14
2024-03-13,DXB-BKK,2,3,365.32,0,267,97539.32
2024-03-14,DXB-BKK,3,3,364.39,0,282,102757.51
2024-03-15,DXB-BKK,4,3,363.11,0,334,121278.07
2024-03-16,DXB-BKK,5,3,363.47,0,300,109039.77
2024-03-17,DXB-BKK,6,3,362.06,0,289,104636.25
2024-03-18,DXB-BKK,0,3,361.26,0,268,96818.88
2024-03-19,DXB-BKK,1,3,360.43,0,265,95514.51
2024-03-20,DXB-BKK,2,3,360.27,0,276,99433.42
2024-03-21,DXB-BKK,3,3,358.26,0,305,109268.8
2024-03-22,DXB-BKK,4,3,358.61,0,324,116190.0
2024-03-23,DXB-BKK,5,3,360.7,0,350,126245.88
2024-03-24,DXB-BKK,6,3,268.33,1,449,120481.91
2024-03-25,DXB-BKK,0,3,288.24,1,354,102038.47
2024-03-26,DXB-BKK,1,3,365.87,0,250,91467.78
2024-03-27,DXB-BKK,2,3,367.25,0,261,95852.8
2024-03-28,DXB-BKK,3,3,367.58,0,257,94467.29
2024-03-29,DXB-BKK,4,3,367.82,0,325,119542.16
2024-03-30,DXB-BKK,5,3,369.18,0,343,126627.87
2024-03-31,DXB-BKK,6,3,368.8,0,286,105476.25
2024-04-01,DXB-BKK,0,4,366.18,0,291,106558.61
2024-04-02,DXB-BKK,1,4,367.12,0,239,87742.56
2024-04-03,DXB-BKK,2,4,365.63,0,256,93601.36
2024-04-04,DXB-BKK,3,4,364.39,0,287,104579.55
2024-04-05,DXB-BKK,4,4,364.59,0,321,117033.05
2024-04-06,DXB-BKK,5,4,364.64,0,330,120332.69
2024-04-07,DXB-BKK,6,4,362.72,0,272,98660.64
2024-04-08,DXB-BKK,0,4,363.17,0,252,91517.84
2024-04-09,DXB-BKK,1,4,364.81,0,251,91566.9
2024-04-10,DXB-BKK,2,4,363.31,0,286,103905.87
2024-04-11,DXB-BKK,3,4,266.58,1,553,147421.33
2024-04-12,DXB-BKK,4,4,279.89,1,535,149740.19
2024-04-13,DXB-BKK,5,4,366.62,0,320,117316.9
2024-04-14,DXB-BKK,6,4,366.18,0,282,103263.54
2024-04-15,DXB-BKK,0,4,366.58,0,256,93845.43
2024-04-16,DXB-BKK,1,4,363.93,0,283,102991.16
2024-04-17,DXB-BKK,2,4,364.01,0,265,96463.19
2024-04-18,DXB-BKK,3,4,364.53,0,275,100246.24
2024-04-19,DXB-BKK,4,4,364.58,0,317,115571.15
2024-04-20,DXB-BKK,5,4,363.91,0,359,130642.42
2024-04-21,DXB-BKK,6,4,362.66,0,315,114237.29
2024-04-22,DXB-BKK,0,4,364.52,0,260,94776.1
2024-04-23,DXB-BKK,1,4,364.74,0,268,97749.6
2024-04-24,DXB-BKK,2,4,367.21,0,230,84459.27
2024-04-25,DXB-BKK,3,4,366.59,0,301,110343.09
2024-04-26,DXB-BKK,4,4,366.1,0,346,126669.93
2024-04-27,DXB-BKK,5,4,367.48,0,325,119431.47
2024-04-28,DXB-BKK,6,4,365.2,0,287,104813.83
2024-04-29,DXB-BKK,0,4,363.54,0,238,86522.72
2024-04-30,DXB-BKK,1,4,285.69,1,422,120560.5
2024-05-01,DXB-BKK,2,5,363.74,0,262,95298.66
2024-05-02,DXB-BKK,3,5,361.16,0,315,113764.41
2024-05-03,DXB-BKK,4,5,364.11,0,349,127073.6
2024-05-04,DXB-BKK,5,5,362.16,0,387,140157.11
2024-05-05,DXB-BKK,6,5,362.58,0,308,111675.66
2024-05-06,DXB-BKK,0,5,362.83,0,264,95786.84
2024-05-07,DXB-BKK,1,5,358.75,0,275,98657.06
2024-05-08,DXB-BKK,2,5,358.49,0,307,110056.39
2024-05-09,DXB-BKK,3,5,359.3,0,315,113178.97
2024-05-10,DXB-BKK,4,5,359.96,0,329,118428.0
2024-05-11,DXB-BKK,5,5,361.45,0,329,118917.2
2024-05-12,DXB-BKK,6,5,361.0,0,296,106855.65
2024-05-13,DXB-BKK,0,5,362.2,0,293,106123.14
2024-05-14,DXB-BKK,1,5,361.29,0,269,97186.04
2024-05-15,DXB-BKK,2,5,359.29,0,280,100602.3
2024-05-16,DXB-BKK,3,5,357.47,0,314,112245.08
2024-05-17,DXB-BKK,4,5,355.39,0,366,130074.28
2024-05-18,DXB-BKK,5,5,357.03,0,373,133170.48
2024-05-19,DXB-BKK,6,5,354.87,0,330,117106.51
2024-05-20,DXB-BKK,0,5,355.39,0,318,113014.58
2024-05-21,DXB-BKK,1,5,309.22,1,394,121830.97
2024-05-22,DXB-BKK,2,5,355.06,0,274,97285.72
2024-05-23,DXB-BKK,3,5,357.21,0,343,122522.6
2024-05-24,DXB-BKK,4,5,356.65,0,353,125899.17
2024-05-25,DXB-BKK,5,5,357.67,0,381,136273.73
2024-05-26,DXB-BKK,6,5,357.83,0,345,123451.19
2024-05-27,DXB-BKK,0,5,357.7,0,294,105163.41
2024-05-28,DXB-BKK,1,5,361.24,0,292,105483.11
2024-05-29,DXB-BKK,2,5,359.17,0,317,113858.23
2024-05-30,DXB-BKK,3,5,361.2,0,345,124613.44
2024-05-31,DXB-BKK,4,5,362.27,0,356,128968.55
2024-06-01,DXB-BKK,5,6,361.64,0,375,135614.21
2024-06-02,DXB-BKK,6,6,364.17,0,309,112527.17
2024-06-03,DXB-BKK,0,6,361.47,0,286,103381.82
2024-06-04,DXB-BKK,1,6,360.77,0,331,119415.35
2024-06-05,DXB-BKK,2,6,359.04,0,298,106992.62
2024-06-06,DXB-BKK,3,6,359.73,0,325,116911.74
2024-06-07,DXB-BKK,4,6,358.13,0,395,141461.82
2024-06-08,DXB-BKK,5,6,358.85,0,402,144258.05
2024-06-09,DXB-BKK,6,6,282.58,1,515,145529.31
2024-06-10,DXB-BKK,0,6,357.99,0,340,121715.07
2024-06-11,DXB-BKK,1,6,358.63,0,317,113686.24
2024-06-12,DXB-BKK,2,6,358.29,0,312,111786.37
2024-06-13,DXB-BKK,3,6,356.72,0,355,126633.92
2024-06-14,DXB-BKK,4,6,263.59,1,629,165800.21
2024-06-15,DXB-BKK,5,6,360.3,0,434,156368.82
2024-06-16,DXB-BKK,6,6,264.49,1,582,153935.77
2024-06-17,DXB-BKK,0,6,355.81,0,289,102828.58
2024-06-18,DXB-BKK,1,6,353.95,0,320,113265.38
2024-06-19,DXB-BKK,2,6,355.24,0,303,107637.17
2024-06-20,DXB-BKK,3,6,271.17,1,652,176800.12
2024-06-21,DXB-BKK,4,6,356.4,0,385,137214.41
2024-06-22,DXB-BKK,5,6,355.88,0,425,151250.56
2024-06-23,DXB-BKK,6,6,355.5,0,383,136156.49
2024-06-24,DXB-BKK,0,6,354.98,0,326,115722.35
2024-06-25,DXB-BKK,1,6,354.89,0,320,113563.32
2024-06-26,DXB-BKK,2,6,356.17,0,347,123589.83
2024-06-27,DXB-BKK,3,6,356.7,0,413,147315.73
2024-06-28,DXB-BKK,4,6,357.47,0,432,154427.23
2024-06-29,DXB-BKK,5,6,358.24,0,469,168015.02
2024-06-30,DXB-BKK,6,6,359.59,0,351,126214.87
2024-07-01,DXB-BKK,0,7,360.04,0,335,120611.81
2024-07-02,DXB-BKK,1,7,360.59,0,324,116830.41
2024-07-03,DXB-BKK,2,7,362.38,0,340,123210.11
2024-07-04,DXB-BKK,3,7,361.39,0,405,146364.79
2024-07-05,DXB-BKK,4,7,360.12,0,407,146568.02
2024-07-06,DXB-BKK,5,7,358.34,0,423,151579.44
2024-07-07,DXB-BKK,6,7,358.62,0,392,140579.25
2024-07-08,DXB-BKK,0,7,355.84,0,301,107107.82
2024-07-09,DXB-BKK,1,7,356.53,0,324,115515.98
2024-07-10,DXB-BKK,2,7,285.03,1,487,138808.72
2024-07-11,DXB-BKK,3,7,358.06,0,360,128900.57
2024-07-12,DXB-BKK,4,7,282.34,1,648,182956.51
2024-07-13,DXB-BKK,5,7,356.72,0,410,146256.44
2024-07-14,DXB-BKK,6,7,265.33,1,609,161588.3
2024-07-15,DXB-BKK,0,7,360.45,0,335,120750.86
2024-07-16,DXB-BKK,1,7,359.41,0,350,125793.93
2024-07-17,DXB-BKK,2,7,359.66,0,337,121206.31
2024-07-18,DXB-BKK,3,7,360.08,0,397,142952.03
